Epoch 1, Train Loss: 14.9397, Valid Loss: 10.3519, SSIM MAE: 599.6464, Size MAE: 99.9446, Best Vloss: inf, Best SSIM MAE: inf, Best Size MAE: inf
Epoch 2, Train Loss: 5.3094, Valid Loss: 1.8969, SSIM MAE: 76.5790, Size MAE: 52.6380, Best Vloss: 10.3519, Best SSIM MAE: 599.646362, Best Size MAE: 99.944649
Epoch 3, Train Loss: 3.7017, Valid Loss: 1.7953, SSIM MAE: 69.5567, Size MAE: 52.8565, Best Vloss: 1.8969, Best SSIM MAE: 76.578995, Best Size MAE: 52.637993
Epoch 4, Train Loss: 3.5690, Valid Loss: 1.7114, SSIM MAE: 63.7922, Size MAE: 52.2333, Best Vloss: 1.7953, Best SSIM MAE: 69.556664, Best Size MAE: 52.637993
Epoch 5, Train Loss: 3.4640, Valid Loss: 1.8519, SSIM MAE: 72.6102, Size MAE: 52.7340, Best Vloss: 1.7114, Best SSIM MAE: 63.792194, Best Size MAE: 52.233295
Epoch 6, Train Loss: 3.3828, Valid Loss: 1.7928, SSIM MAE: 68.5433, Size MAE: 52.9561, Best Vloss: 1.7114, Best SSIM MAE: 63.792194, Best Size MAE: 52.233295
Epoch 7, Train Loss: 3.3693, Valid Loss: 1.9765, SSIM MAE: 79.7282, Size MAE: 53.4419, Best Vloss: 1.7114, Best SSIM MAE: 63.792194, Best Size MAE: 52.233295
Epoch 8, Train Loss: 3.3252, Valid Loss: 1.6203, SSIM MAE: 57.9649, Size MAE: 51.8997, Best Vloss: 1.7114, Best SSIM MAE: 63.792194, Best Size MAE: 52.233295
Epoch 9, Train Loss: 3.2259, Valid Loss: 1.5995, SSIM MAE: 56.6446, Size MAE: 51.9979, Best Vloss: 1.6203, Best SSIM MAE: 57.964893, Best Size MAE: 51.899654
Epoch 10, Train Loss: 3.2483, Valid Loss: 1.5718, SSIM MAE: 54.5158, Size MAE: 51.7921, Best Vloss: 1.5995, Best SSIM MAE: 56.644623, Best Size MAE: 51.899654
Epoch 11, Train Loss: 3.2224, Valid Loss: 1.5936, SSIM MAE: 55.8018, Size MAE: 52.1067, Best Vloss: 1.5718, Best SSIM MAE: 54.515762, Best Size MAE: 51.792068
Epoch 12, Train Loss: 3.1508, Valid Loss: 1.4761, SSIM MAE: 48.2541, Size MAE: 51.9694, Best Vloss: 1.5718, Best SSIM MAE: 54.515762, Best Size MAE: 51.792068
Epoch 13, Train Loss: 3.2698, Valid Loss: 1.6847, SSIM MAE: 61.6006, Size MAE: 52.8099, Best Vloss: 1.4761, Best SSIM MAE: 48.254063, Best Size MAE: 51.792068
Epoch 14, Train Loss: 3.1538, Valid Loss: 1.5444, SSIM MAE: 53.1785, Size MAE: 52.0551, Best Vloss: 1.4761, Best SSIM MAE: 48.254063, Best Size MAE: 51.792068
Epoch 15, Train Loss: 3.1716, Valid Loss: 1.5672, SSIM MAE: 54.5095, Size MAE: 52.2788, Best Vloss: 1.4761, Best SSIM MAE: 48.254063, Best Size MAE: 51.792068
Epoch 16, Train Loss: 3.1804, Valid Loss: 1.5657, SSIM MAE: 54.3596, Size MAE: 52.3775, Best Vloss: 1.4761, Best SSIM MAE: 48.254063, Best Size MAE: 51.792068
Epoch 17, Train Loss: 3.1418, Valid Loss: 1.5895, SSIM MAE: 53.4503, Size MAE: 52.1783, Best Vloss: 1.4761, Best SSIM MAE: 48.254063, Best Size MAE: 51.792068
Epoch 18, Train Loss: 3.1168, Valid Loss: 1.5254, SSIM MAE: 51.7481, Size MAE: 51.8479, Best Vloss: 1.4761, Best SSIM MAE: 48.254063, Best Size MAE: 51.792068
Epoch 19, Train Loss: 3.1267, Valid Loss: 1.4266, SSIM MAE: 46.0472, Size MAE: 51.6182, Best Vloss: 1.4761, Best SSIM MAE: 48.254063, Best Size MAE: 51.792068
Epoch 20, Train Loss: 3.0764, Valid Loss: 1.5334, SSIM MAE: 51.6470, Size MAE: 52.3816, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 21, Train Loss: 3.1122, Valid Loss: 1.6731, SSIM MAE: 60.8640, Size MAE: 52.5490, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 22, Train Loss: 3.0975, Valid Loss: 1.8575, SSIM MAE: 72.7377, Size MAE: 53.4030, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 23, Train Loss: 3.0896, Valid Loss: 1.4791, SSIM MAE: 48.5210, Size MAE: 51.9855, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 24, Train Loss: 3.1254, Valid Loss: 1.5138, SSIM MAE: 51.4412, Size MAE: 52.2816, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 25, Train Loss: 3.1126, Valid Loss: 1.7673, SSIM MAE: 66.9647, Size MAE: 52.4488, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 26, Train Loss: 3.0938, Valid Loss: 1.5852, SSIM MAE: 55.0479, Size MAE: 52.0030, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 27, Train Loss: 3.1279, Valid Loss: 1.7028, SSIM MAE: 62.4869, Size MAE: 52.5540, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 28, Train Loss: 3.1304, Valid Loss: 1.6478, SSIM MAE: 58.9583, Size MAE: 52.2172, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 29, Train Loss: 3.1273, Valid Loss: 1.6042, SSIM MAE: 56.9469, Size MAE: 51.9803, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 30, Train Loss: 3.0844, Valid Loss: 1.5945, SSIM MAE: 56.5406, Size MAE: 52.2742, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 31, Train Loss: 3.0751, Valid Loss: 1.6128, SSIM MAE: 57.5504, Size MAE: 52.3051, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 32, Train Loss: 3.0571, Valid Loss: 1.8087, SSIM MAE: 69.9078, Size MAE: 52.7621, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 33, Train Loss: 3.0923, Valid Loss: 1.7566, SSIM MAE: 64.6349, Size MAE: 52.2334, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 34, Train Loss: 3.1026, Valid Loss: 1.5623, SSIM MAE: 54.2097, Size MAE: 51.9484, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 35, Train Loss: 3.0668, Valid Loss: 1.7467, SSIM MAE: 65.5533, Size MAE: 52.6693, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 36, Train Loss: 3.0318, Valid Loss: 1.5810, SSIM MAE: 55.1540, Size MAE: 51.9875, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 37, Train Loss: 3.1048, Valid Loss: 1.6915, SSIM MAE: 62.9821, Size MAE: 52.4751, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 38, Train Loss: 3.1031, Valid Loss: 1.5500, SSIM MAE: 53.3687, Size MAE: 51.8980, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 39, Train Loss: 3.0738, Valid Loss: 1.5426, SSIM MAE: 53.1067, Size MAE: 52.2833, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 40, Train Loss: 3.0686, Valid Loss: 1.7580, SSIM MAE: 65.9209, Size MAE: 52.8834, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 41, Train Loss: 3.0429, Valid Loss: 1.6885, SSIM MAE: 61.9955, Size MAE: 52.4489, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 42, Train Loss: 3.0682, Valid Loss: 1.5652, SSIM MAE: 54.3298, Size MAE: 52.1720, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 43, Train Loss: 3.0325, Valid Loss: 1.6726, SSIM MAE: 61.5319, Size MAE: 52.3570, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 44, Train Loss: 3.0722, Valid Loss: 1.7656, SSIM MAE: 65.4917, Size MAE: 53.0275, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 45, Train Loss: 3.0072, Valid Loss: 1.7369, SSIM MAE: 65.3566, Size MAE: 52.9355, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 46, Train Loss: 3.0760, Valid Loss: 1.6159, SSIM MAE: 57.4782, Size MAE: 52.2994, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 47, Train Loss: 3.0384, Valid Loss: 1.6443, SSIM MAE: 57.7848, Size MAE: 52.4107, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 48, Train Loss: 3.0354, Valid Loss: 1.7506, SSIM MAE: 66.6513, Size MAE: 52.4526, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 49, Train Loss: 3.0395, Valid Loss: 1.7063, SSIM MAE: 62.9531, Size MAE: 52.4803, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 50, Train Loss: 3.0234, Valid Loss: 1.7035, SSIM MAE: 63.0405, Size MAE: 52.6616, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 51, Train Loss: 3.0343, Valid Loss: 1.6792, SSIM MAE: 61.2276, Size MAE: 52.4733, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 52, Train Loss: 3.0458, Valid Loss: 1.5975, SSIM MAE: 56.6926, Size MAE: 52.4502, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 53, Train Loss: 3.0652, Valid Loss: 1.6824, SSIM MAE: 60.7277, Size MAE: 52.2915, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 54, Train Loss: 3.0041, Valid Loss: 1.7193, SSIM MAE: 63.3603, Size MAE: 52.4666, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 55, Train Loss: 3.0670, Valid Loss: 1.6776, SSIM MAE: 61.1519, Size MAE: 52.3888, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 56, Train Loss: 3.0619, Valid Loss: 1.7450, SSIM MAE: 65.1945, Size MAE: 52.8686, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 57, Train Loss: 3.0335, Valid Loss: 1.6903, SSIM MAE: 62.0387, Size MAE: 52.4668, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 58, Train Loss: 3.0278, Valid Loss: 1.6753, SSIM MAE: 61.7605, Size MAE: 52.3600, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 59, Train Loss: 3.0559, Valid Loss: 1.6828, SSIM MAE: 61.1964, Size MAE: 52.4822, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 60, Train Loss: 3.0373, Valid Loss: 1.7393, SSIM MAE: 65.1636, Size MAE: 52.8091, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 61, Train Loss: 3.0117, Valid Loss: 1.6814, SSIM MAE: 62.1796, Size MAE: 52.6150, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 62, Train Loss: 3.0256, Valid Loss: 1.6990, SSIM MAE: 61.8932, Size MAE: 52.6324, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 63, Train Loss: 3.0805, Valid Loss: 1.6384, SSIM MAE: 59.3577, Size MAE: 52.4130, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 64, Train Loss: 3.0223, Valid Loss: 1.6390, SSIM MAE: 58.5235, Size MAE: 52.4450, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 65, Train Loss: 3.0058, Valid Loss: 1.6392, SSIM MAE: 58.7040, Size MAE: 52.4295, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 66, Train Loss: 3.0711, Valid Loss: 1.7428, SSIM MAE: 65.1759, Size MAE: 52.6566, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 67, Train Loss: 3.0679, Valid Loss: 1.6847, SSIM MAE: 61.9172, Size MAE: 52.5483, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 68, Train Loss: 2.9950, Valid Loss: 1.7253, SSIM MAE: 63.6589, Size MAE: 52.7246, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 69, Train Loss: 3.0062, Valid Loss: 1.8335, SSIM MAE: 67.6128, Size MAE: 52.8787, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 70, Train Loss: 3.0155, Valid Loss: 1.7273, SSIM MAE: 63.7103, Size MAE: 52.6346, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 71, Train Loss: 3.0395, Valid Loss: 1.7348, SSIM MAE: 64.8377, Size MAE: 52.7594, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 72, Train Loss: 3.0159, Valid Loss: 1.6841, SSIM MAE: 62.5958, Size MAE: 52.7354, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 73, Train Loss: 3.0368, Valid Loss: 1.6876, SSIM MAE: 62.3574, Size MAE: 52.5601, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 74, Train Loss: 3.0590, Valid Loss: 1.8114, SSIM MAE: 68.0103, Size MAE: 52.8103, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
