threshold=(0, 0), ssim=0.952729, orig=2129912, zlib=347330, bz2=0, lzma=0, jpeg=475682
threshold=(0, 10), ssim=0.950630, orig=2129912, zlib=333192, bz2=0, lzma=0, jpeg=467630
threshold=(0, 20), ssim=0.947016, orig=2129912, zlib=316665, bz2=0, lzma=0, jpeg=457639
threshold=(0, 30), ssim=0.942537, orig=2129912, zlib=296425, bz2=0, lzma=0, jpeg=446470
threshold=(0, 40), ssim=0.936874, orig=2129912, zlib=276327, bz2=0, lzma=0, jpeg=434146
threshold=(0, 50), ssim=0.929100, orig=2129912, zlib=254126, bz2=0, lzma=0, jpeg=420033
threshold=(0, 60), ssim=0.920375, orig=2129912, zlib=231019, bz2=0, lzma=0, jpeg=405348
threshold=(0, 70), ssim=0.911957, orig=2129912, zlib=208563, bz2=0, lzma=0, jpeg=389589
threshold=(0, 80), ssim=0.904126, orig=2129912, zlib=183947, bz2=0, lzma=0, jpeg=372852
threshold=(0, 90), ssim=0.896042, orig=2129912, zlib=157043, bz2=0, lzma=0, jpeg=354029
threshold=(0, 100), ssim=0.889295, orig=2129912, zlib=126029, bz2=0, lzma=0, jpeg=329709
threshold=(10, 10), ssim=0.949739, orig=2126640, zlib=330923, bz2=0, lzma=0, jpeg=464790
threshold=(10, 20), ssim=0.946188, orig=2126640, zlib=314881, bz2=0, lzma=0, jpeg=454984
threshold=(10, 30), ssim=0.941745, orig=2126640, zlib=294495, bz2=0, lzma=0, jpeg=443911
threshold=(10, 40), ssim=0.936117, orig=2126640, zlib=274428, bz2=0, lzma=0, jpeg=431643
threshold=(10, 50), ssim=0.928356, orig=2126640, zlib=252205, bz2=0, lzma=0, jpeg=417550
threshold=(10, 60), ssim=0.919630, orig=2126640, zlib=228892, bz2=0, lzma=0, jpeg=402848
threshold=(10, 70), ssim=0.911215, orig=2126640, zlib=206659, bz2=0, lzma=0, jpeg=387120
threshold=(10, 80), ssim=0.903383, orig=2126640, zlib=181928, bz2=0, lzma=0, jpeg=370435
threshold=(10, 90), ssim=0.895298, orig=2126640, zlib=155106, bz2=0, lzma=0, jpeg=351650
threshold=(10, 100), ssim=0.888554, orig=2126640, zlib=123005, bz2=0, lzma=0, jpeg=327335
threshold=(20, 20), ssim=0.944773, orig=2123360, zlib=311220, bz2=0, lzma=0, jpeg=451880
threshold=(20, 30), ssim=0.940383, orig=2123360, zlib=291580, bz2=0, lzma=0, jpeg=440984
threshold=(20, 40), ssim=0.934796, orig=2123360, zlib=271382, bz2=0, lzma=0, jpeg=428813
threshold=(20, 50), ssim=0.927047, orig=2123360, zlib=248986, bz2=0, lzma=0, jpeg=414726
threshold=(20, 60), ssim=0.918322, orig=2123360, zlib=226232, bz2=0, lzma=0, jpeg=400046
threshold=(20, 70), ssim=0.909909, orig=2123360, zlib=202989, bz2=0, lzma=0, jpeg=384365
threshold=(20, 80), ssim=0.902077, orig=2123360, zlib=178218, bz2=0, lzma=0, jpeg=367700
threshold=(20, 90), ssim=0.893994, orig=2123360, zlib=151669, bz2=0, lzma=0, jpeg=348968
threshold=(20, 100), ssim=0.887252, orig=2123360, zlib=119069, bz2=0, lzma=0, jpeg=324691
threshold=(30, 30), ssim=0.938210, orig=2120088, zlib=287918, bz2=0, lzma=0, jpeg=437552
threshold=(30, 40), ssim=0.932667, orig=2120088, zlib=266964, bz2=0, lzma=0, jpeg=425550
threshold=(30, 50), ssim=0.924928, orig=2120088, zlib=244743, bz2=0, lzma=0, jpeg=411507
threshold=(30, 60), ssim=0.916203, orig=2120088, zlib=222343, bz2=0, lzma=0, jpeg=396857
threshold=(30, 70), ssim=0.907793, orig=2120088, zlib=199352, bz2=0, lzma=0, jpeg=381228
